ID,Uitkeringen,Perioden,SocialeUitkeringen_1
779,A045148,2018JJ00,3283
780,A045148,2019JJ00,3642
781,A045148,2020JJ00,3803
782,A045148,2021JJ00,4131
783,A045142,1995JJ00,30
784,A045142,1996JJ00,31
785,A045142,1997JJ00,35
786,A045142,1998JJ00,39
787,A045142,1999JJ00,43
788,A045142,2000JJ00,47
789,A045142,2001JJ00,70
790,A045142,2002JJ00,97
791,A045142,2003JJ00,98
792,A045142,2004JJ00,99
793,A045142,2005JJ00,610
794,A045142,2006JJ00,923
795,A045142,2007JJ00,2027
796,A045142,2008JJ00,2795
797,A045142,2009JJ00,3047
798,A045142,2010JJ00,2997
799,A045142,2011JJ00,2920
800,A045142,2012JJ00,2455
801,A045142,2013JJ00,2063
802,A045142,2014JJ00,1835
803,A045142,2015JJ00,1741
804,A045142,2016JJ00,2095
805,A045142,2017JJ00,2370
806,A045142,2018JJ00,2613
807,A045142,2019JJ00,3095
808,A045142,2020JJ00,2928
809,A045142,2021JJ00,3493
810,A045135,1995JJ00,0
811,A045135,1996JJ00,0
812,A045135,1997JJ00,0
813,A045135,1998JJ00,0
814,A045135,1999JJ00,0
815,A045135,2000JJ00,0
816,A045135,2001JJ00,0
817,A045135,2002JJ00,0
818,A045135,2003JJ00,0
819,A045135,2004JJ00,0
820,A045135,2005JJ00,0
821,A045135,2006JJ00,0
822,A045135,2007JJ00,0
823,A045135,2008JJ00,823
824,A045135,2009JJ00,942
825,A045135,2010JJ00,896
826,A045135,2011JJ00,976
827,A045135,2012JJ00,911
828,A045135,2013JJ00,896
829,A045135,2014JJ00,936
830,A045135,2015JJ00,1822
831,A045135,2016JJ00,1908
832,A045135,2017JJ00,1895
833,A045135,2018JJ00,1910
834,A045135,2019JJ00,2065
835,A045135,2020JJ00,2709
836,A045135,2021JJ00,2648
837,A045143,1995JJ00,91
838,A045143,1996JJ00,91
839,A045143,1997JJ00,91
840,A045143,1998JJ00,93
841,A045143,1999JJ00,95
842,A045143,2000JJ00,98
843,A045143,2001JJ00,130
844,A045143,2002JJ00,148
845,A045143,2003JJ00,156
846,A045143,2004JJ00,161
847,A045143,2005JJ00,169
848,A045143,2006JJ00,185
849,A045143,2007JJ00,199
850,A045143,2008JJ00,221
851,A045143,2009JJ00,247
852,A045143,2010JJ00,236
853,A045143,2011JJ00,244
854,A045143,2012JJ00,253
855,A045143,2013JJ00,237
856,A045143,2014JJ00,214
857,A045143,2015JJ00,193
858,A045143,2016JJ00,194
859,A045143,2017JJ00,199
860,A045143,2018JJ00,212
861,A045143,2019JJ00,275
862,A045143,2020JJ00,239
863,A045143,2021JJ00,317
864,A045134,1995JJ00,0
865,A045134,1996JJ00,0
866,A045134,1997JJ00,0
867,A045134,1998JJ00,0
868,A045134,1999JJ00,0
869,A045134,2000JJ00,0
870,A045134,2001JJ00,0
871,A045134,2002JJ00,0
872,A045134,2003JJ00,0
873,A045134,2004JJ00,0
874,A045134,2005JJ00,252
875,A045134,2006JJ00,299
876,A045134,2007JJ00,439
877,A045134,2008JJ00,483
878,A045134,2009JJ00,1217
879,A045134,2010JJ00,1178
880,A045134,2011JJ00,1108
881,A045134,2012JJ00,1124
882,A045134,2013JJ00,1198
883,A045134,2014JJ00,986
884,A045134,2015JJ00,1
885,A045134,2016JJ00,1
886,A045134,2017JJ00,0
887,A045134,2018JJ00,0
888,A045134,2019JJ00,0
889,A045134,2020JJ00,0
890,A045134,2021JJ00,0
891,A045128,1995JJ00,264
892,A045128,1996JJ00,223
893,A045128,1997JJ00,181
