"ID","RegioS","Perioden","GrijzeDruk_24"
"19516","GM0047","2023JJ00","42.6"
"19545","GM0345","2023JJ00","32.8"
"19574","GM0717","2023JJ00","55.4"
"19603","GM0860","2023JJ00",
"19632","GM0861","2023JJ00","39.1"
"19661","GM0453","2023JJ00","36.7"
"19690","GM0454","2023JJ00",
"19719","GM0983","2023JJ00","39.1"
"19748","GM0984","2023JJ00","39.4"
"19777","GM0862","2023JJ00",
"19806","GM0620","2023JJ00",
"19835","GM0863","2023JJ00",
"19864","GM1961","2023JJ00","36.1"
"19893","GM0622","2023JJ00","36.7"
"19922","GM0048","2023JJ00",
"19951","GM0132","2023JJ00",
"19980","GM0347","2023JJ00",
"20009","GM0096","2023JJ00","30.4"
"20038","GM0864","2023JJ00",
"20067","GM0718","2023JJ00","44.1"
"20096","GM0623","2023JJ00",
"20125","GM0986","2023JJ00","54.7"
"20154","GM0624","2023JJ00",
"20183","GM0625","2023JJ00",
"20212","GM1992","2023JJ00","42.8"
"20241","GM0626","2023JJ00","45.5"
"20270","GM0285","2023JJ00","47.3"
"20299","GM0286","2023JJ00",
"20328","GM0133","2023JJ00",
"20357","GM0186","2023JJ00",
"20386","GM0865","2023JJ00","41.2"
"20415","GM1949","2023JJ00","42.3"
"20444","GM0866","2023JJ00","45.2"
"20473","GM0867","2023JJ00","37.4"
"20502","GM0627","2023JJ00","32.6"
"20531","GM0289","2023JJ00","25.7"
"20560","GM0628","2023JJ00",
"20589","GM0291","2023JJ00",
"20618","GM0869","2023JJ00",
"20647","GM0629","2023JJ00","49.6"
"20676","GM0630","2023JJ00",
"20705","GM0852","2023JJ00","49.1"
"20734","GM0188","2023JJ00",
"20763","GM0988","2023JJ00","41.8"
"20792","GM0457","2023JJ00",
"20821","GM0292","2023JJ00",
"20850","GM0870","2023JJ00",
"20879","GM0459","2023JJ00",
"20908","GM1960","2023JJ00","35.1"
"20937","GM0668","2023JJ00","38.9"
"20966","GM0134","2023JJ00",
"20995","GM0871","2023JJ00",
"21024","GM0558","2023JJ00",
"21053","GM1969","2023JJ00","39"
"21082","GM0725","2023JJ00",
"21111","GM1701","2023JJ00","58.7"
"21140","GM0293","2023JJ00","39"
"21169","GM1950","2023JJ00","50.5"
"21198","GM0726","2023JJ00",
"21227","GM1783","2023JJ00","34.6"
"21256","GM0098","2023JJ00","45.4"
"21285","GM0614","2023JJ00",
"21314","GM0189","2023JJ00","40.6"
"21343","GM0462","2023JJ00",
"21372","GM0463","2023JJ00",
"21401","GM0296","2023JJ00","39.8"
"21430","GM1696","2023JJ00","45.3"
"21459","GM0190","2023JJ00",
"21488","GM0135","2023JJ00",
"21517","GM0352","2023JJ00","40.8"
"21546","GM0872","2023JJ00",
"21575","GM0052","2023JJ00",
"21604","GM0053","2023JJ00",
"21633","GM0294","2023JJ00","44.8"
"21662","GM0295","2023JJ00",
"21691","GM0990","2023JJ00",
"21720","GM0873","2023JJ00","43.6"
"21749","GM0632","2023JJ00","34.9"
"21778","GM0466","2023JJ00",
"21807","GM1690","2023JJ00","46.9"
"21836","GM0880","2023JJ00","41.9"
"21865","GM0351","2023JJ00","34.3"
"21894","GM0874","2023JJ00",
"21923","GM0875","2023JJ00",
"21952","GM0710","2023JJ00",
"21981","GM0683","2023JJ00",
"22010","GM0479","2023JJ00","31.2"
"22039","GM0297","2023JJ00","32.6"
"22068","GM0473","2023JJ00","48.1"
"22097","GM0707","2023JJ00",
"22126","GM0478","2023JJ00",
"22155","GM0050","2023JJ00","24.6"
"22184","GM0355","2023JJ00","38.5"
"22213","GM0298","2023JJ00",
"22242","GM0299","2023JJ00","44.8"
"22271","GM0878","2023JJ00",
"22300","GM1666","2023JJ00",
"22329","GM0732","2023JJ00",
"22358","GM0476","2023JJ00",
"22387","GM0637","2023JJ00","36.4"
"22416","GM0638","2023JJ00","37.6"
"22445","GM0056","2023JJ00",
"22474","GM0136","2023JJ00",
"22503","GM1892","2023JJ00","33.1"
"22532","GM0137","2023JJ00",
"22561","GM0879","2023JJ00","40.2"
"22590","GM0301","2023JJ00","42.9"
"22619","GM1896","2023JJ00","32"
"22648","GM0192","2023JJ00",
"22677","GM0138","2023JJ00",
"22706","GM0642","2023JJ00","41.5"
"22735","GM0193","2023JJ00","27.6"
